group,dimension,weighted_median,standard_error,ci95_lower,ci95_upper,unweighted_n,effective_n
rural_school__higher_background,resources,43.95609314551785,7.617645030396794,29.025508885940134,58.88667740509556,60,26.942251023588298
rural_school__higher_background,human_support,48.50985718912791,4.339792507631878,40.003863874169426,57.01585050408639,60,26.942251023588298
rural_school__higher_background,digital_access,68.7698900479662,14.063819829759215,41.20480318163814,96.33497691429426,59,26.717620073720255
rural_school__higher_background,learning_agency,49.285885721363044,15.389408420638203,19.12264521691217,79.44912622581393,60,26.942251023588298
rural_school__higher_background,wellbeing,51.52323105066963,6.699545974914998,38.39212093983623,64.65434116150303,59,26.521123734035644
rural_school__lower_background,resources,22.014739371146582,10.319376391141855,1.788761644508547,42.24071709778462,77,41.86211899550759
rural_school__lower_background,human_support,46.19450558986451,4.667467958931646,37.046268390358485,55.34274278937054,76,41.388473877326646
rural_school__lower_background,digital_access,57.475318062230116,3.06786722315734,51.46229830484173,63.4883378196185,76,41.155436027075616
rural_school__lower_background,learning_agency,50.16105835003077,12.521295993720818,25.61931820233797,74.70279849772358,77,41.86211899550759
rural_school__lower_background,wellbeing,36.29946639930082,11.274454036707068,14.201536487354964,58.39739631124667,76,41.388473877326646
urban_school__higher_background,resources,64.61035063997498,3.23976181075642,58.2604174908924,70.96028378905757,1453,873.5652635240283
urban_school__higher_background,human_support,53.15053048823298,1.3972807154563613,50.411860285938516,55.889200690527446,1440,864.1707953086903
urban_school__higher_background,digital_access,55.922761071057806,2.5961759441852488,50.83425622045472,61.01126592166089,1389,840.8662319436298
urban_school__higher_background,learning_agency,59.43650166014499,2.3655223524041817,54.800077849432796,64.07292547085719,1452,872.0229942513239
urban_school__higher_background,wellbeing,54.90559493660444,2.070316926810908,50.847773760055055,58.96341611315382,1448,872.2564979587852
urban_school__lower_background,resources,36.95997400943586,2.348999021174815,32.355935927933224,41.5640120909385,1300,872.1698888441816
urban_school__lower_background,human_support,44.96094896532536,1.641783721706944,41.74305287077975,48.178845059870966,1292,864.0045891944804
urban_school__lower_background,digital_access,44.39461314666539,2.782633442906324,38.940651598569,49.84857469476179,1269,845.1808127553594
urban_school__lower_background,learning_agency,39.66546814118768,1.4142642979840665,36.89351011713891,42.43742616523645,1308,876.876058275136
urban_school__lower_background,wellbeing,46.63572449908424,1.980598876311869,42.75375070151298,50.5176982966555,1307,876.2562608450628
